average_speed|distance|elapsed_time|elev_high|elev_low|hashed_id|max_speed|moving_time|total_elevation_gain|age_0.0|age_1.0|age_2.0|trainer_onehot|workout_type_10.0|workout_type_11.0|workout_type_12.0|weekday_Friday|weekday_Monday|weekday_Saturday|weekday_Sunday|weekday_Thursday|weekday_Tuesday|weekday_Wednesday|daypart_afternoon|daypart_dawn|daypart_evening|daypart_forenoon|daypart_morning|daypart_night
6.005|27934.3|4911.0|173.6|96.4|4348472.0|10.9|4652.0|145.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.818|25177.5|3693.0|170.8|105.4|4348472.0|17.7|3693.0|44.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.186|73670.1|17388.0|457.6|214.4|4348472.0|13.3|14206.0|870.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
7.762|64708.2|10529.0|241.4|135.6|4348472.0|15.7|8337.0|639.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
6.192|104894.0|20911.0|351.0|45.0|4348472.0|15.8|16939.0|482.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0
6.706|140733.0|25895.0|656.8|60.8|4348472.0|17.3|20986.0|1157.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
8.99|14932.7|1661.0|143.2|92.6|4348472.0|15.7|1661.0|35.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0
5.995|27720.3|4782.0|195.6|112.8|4348472.0|11.6|4624.0|155.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.667999999999999|25030.2|3809.0|184.8|118.4|4348472.0|9.7|3754.0|53.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
6.539|27890.2|4284.0|216.8|133.8|4348472.0|12.0|4265.0|166.0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.977|25025.2|3695.0|185.6|0.0|4348472.0|10.5|3587.0|42.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.875|27813.4|4824.0|201.0|116.6|4348472.0|11.4|4734.0|158.0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.99|25067.0|3612.0|167.2|103.6|4348472.0|11.6|3586.0|47.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.791|27860.4|4811.0|184.4|102.6|4348472.0|11.9|4811.0|157.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.814|25027.2|3706.0|163.2|99.6|4348472.0|10.2|3673.0|50.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.5520000000000005|27859.7|5323.0|186.2|102.6|4348472.0|11.5|5018.0|160.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
6.771|25025.7|3777.0|149.8|85.2|4348472.0|12.3|3696.0|49.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
7.172000000000001|22541.8|3172.0|154.2|85.2|4348472.0|10.5|3143.0|94.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
3.6719999999999997|24029.8|14269.0|127.6|58.6|4348472.0|8.3|6544.0|98.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
8.66|22541.0|2603.0|134.6|0.0|4348472.0|11.8|2603.0|35.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
8.057|67364.8|9319.0|125.2|43.8|4348472.0|16.7|8361.0|155.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
3.4760000000000004|10715.9|4096.0|96.6|52.4|4348472.0|8.5|3083.0|59.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
8.02|66308.9|11368.0|207.2|35.8|4348472.0|18.5|8268.0|299.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
5.627000000000001|28336.8|5036.0|138.4|54.8|4348472.0|11.2|5036.0|162.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
6.824|25037.3|3744.0|128.2|60.6|4348472.0|12.9|3669.0|46.0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5.809|27988.2|5960.0|175.6|89.6|4348472.0|12.0|4818.0|166.0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.827999999999999|25036.5|3684.0|145.4|80.0|4348472.0|12.1|3667.0|44.0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.997999999999999|27706.7|4666.0|162.4|79.0|4348472.0|11.3|4619.0|152.0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.83|25040.3|3743.0|134.4|69.2|4348472.0|13.3|3666.0|49.0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
6.2010000000000005|27726.8|4471.0|169.8|86.0|4348472.0|11.2|4471.0|152.0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.9110000000000005|25026.2|3697.0|153.8|85.6|4348472.0|10.5|3621.0|49.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
6.3020000000000005|27743.1|4420.0|195.4|111.0|4348472.0|11.6|4402.0|154.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
7.188|25030.3|3482.0|192.8|124.0|4348472.0|14.3|3482.0|42.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
7.817|34119.6|4386.0|226.6|147.6|4348472.0|12.2|4365.0|105.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
8.874|21980.7|2477.0|317.4|0.0|4348472.0|19.2|2477.0|230.0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0
7.931|33128.9|4364.0|228.6|145.0|4348472.0|11.2|4177.0|34.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0
7.335|86494.4|12344.0|273.4|94.6|4348472.0|15.6|11792.0|450.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
6.435|27411.6|4287.0|135.8|50.4|4348472.0|11.4|4260.0|151.0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
7.115|25015.9|3583.0|118.2|48.6|4348472.0|12.0|3516.0|45.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
6.474|28024.4|4389.0|194.8|112.8|4348472.0|11.4|4329.0|162.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
7.159|25006.6|3575.0|178.6|111.8|4348472.0|16.3|3493.0|50.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
6.079|27757.4|4566.0|207.6|121.0|4348472.0|10.9|4566.0|162.0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.439|25022.3|3886.0|213.8|144.0|4348472.0|9.8|3886.0|50.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
6.024|27717.5|4601.0|277.0|0.0|4348472.0|11.0|4601.0|157.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
7.399|25024.4|3382.0|233.4|172.6|4348472.0|13.3|3382.0|48.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
5.63|52909.8|11616.0|424.0|154.0|4348472.0|11.3|9398.0|549.0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0
5.154|13105.9|2598.0|88.0|52.2|4348472.0|14.5|2543.0|122.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.192|30403.1|4910.0|213.4|122.0|4348472.0|11.1|4910.0|184.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.987|25803.7|3788.0|168.6|105.0|4348472.0|10.5|3693.0|46.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0
5.886|29234.0|4967.0|205.0|115.8|4348472.0|11.1|4967.0|169.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0
6.495|25024.5|3909.0|174.6|109.8|4348472.0|9.5|3853.0|49.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
5.898|29282.4|5005.0|203.4|110.4|4348472.0|10.6|4965.0|176.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0
6.7860000000000005|25011.8|3703.0|161.6|98.0|4348472.0|11.4|3686.0|45.0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0
5.18|11644.2|3177.0|172.2|134.8|4348472.0|10.7|2248.0|119.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
