average_speed,distance,kmeans,minibatch,spectral
7.064,12284.1,E,E,E
5.027,15373.4,D,D,D
7.63,12238.2,E,E,E
4.908,95830.6,C,C,C
5.596,16328.8,D,D,E
5.438,86795.1,C,C,C
6.007999999999999,37562.6,B,B,E
4.955,18540.6,D,D,D
5.251,58862.2,C,C,B
6.332000000000002,14341.9,E,E,E
5.2170000000000005,21760.0,B,B,D
5.645,12317.6,D,D,E
5.271,15481.1,D,D,D
6.436,12305.4,E,E,E
5.325,36113.3,B,B,E
4.476,20866.6,A,D,D
5.581,34762.8,B,B,E
3.136,37256.9,A,A,D
6.204,11105.7,E,E,E
6.675,12296.0,E,E,E
6.5,12330.0,E,E,E
5.995,12415.3,E,E,E
7.496,12255.8,E,E,E
6.057,12319.7,E,E,E
7.115,12251.9,E,E,E
7.226,12276.4,E,E,E
5.325,16889.8,D,D,D
7.11,12235.8,E,E,E
5.6770000000000005,15435.6,D,D,E
7.022,12260.2,E,E,E
4.758,66958.8,C,C,B
4.178,38153.9,B,B,B
5.119,16793.9,D,D,D
7.0360000000000005,12299.1,E,E,E
5.917999999999998,15835.7,E,E,E
7.252000000000002,12270.5,E,E,E
5.352,16827.8,D,D,D
5.792999999999998,15398.2,D,E,E
7.654,12314.9,E,E,E
4.884,16731.4,D,D,D
6.759,12280.8,E,E,E
3.625,63342.40000000001,C,C,B
5.832999999999998,15392.9,E,E,E
7.107,12259.0,E,E,E
5.686,12742.4,D,D,E
5.51,15466.7,D,D,E
7.761,12231.5,E,E,E
5.97,15557.4,E,E,E
6.852,12238.0,E,E,E
5.567,15432.9,D,D,E
7.276,12289.1,E,E,E
5.725,15376.8,D,D,E
6.822,12265.6,E,E,E
5.371,15394.7,D,D,D
6.931,12240.9,E,E,E
5.5779999999999985,15379.5,D,D,E
6.768,12243.2,E,E,E
3.871,34557.8,A,B,D
5.132999999999999,10825.0,D,D,D
5.432,16778.5,D,D,E
6.692,12266.9,E,E,E
5.6370000000000005,15439.2,D,D,E
6.62,12293.2,E,E,E
5.023,67514.5,C,C,B
5.4670000000000005,95540.6,C,C,C
5.9529999999999985,15340.1,E,E,E
6.9620000000000015,12245.6,E,E,E
5.516,16547.0,D,D,E
6.311,12274.1,E,E,E
5.936,15380.7,E,E,E
6.791,12257.2,E,E,E
5.513,15352.4,D,D,E
6.864,12272.5,E,E,E
5.265,15591.1,D,D,D
6.547999999999999,12251.3,E,E,E
5.5539999999999985,15446.8,D,D,E
6.4929999999999986,12265.5,E,E,E
5.43,90032.7,C,C,C
5.3679999999999986,58931.40000000001,C,C,B
5.86,76481.1,C,C,C
5.942,18723.6,E,E,E
7.619,12312.7,E,E,E
6.0710000000000015,18054.5,E,E,E
7.294,12289.6,E,E,E
5.942,18074.3,E,E,E
7.2029999999999985,12324.1,E,E,E
6.061,18068.5,E,E,E
6.909,12277.6,E,E,E
5.1789999999999985,25685.8,B,B,D
6.303,12285.0,E,E,E
5.476,15364.6,D,D,E
6.392,12259.8,E,E,E
5.27,15388.8,D,D,D
6.2010000000000005,12277.4,E,E,E
5.252999999999999,16356.3,D,D,D
5.494,12521.5,D,D,E
4.892,15444.5,D,D,D
6.772,12242.9,E,E,E
5.025,15468.3,D,D,D
5.851,12345.100000000002,E,E,E
5.117,15520.6,D,D,D
5.362,15425.1,D,D,D
5.2120000000000015,15505.5,D,D,D
4.907,15515.9,D,D,D
5.136,15506.2,D,D,D
6.097,12375.9,E,E,E
5.975,12356.2,E,E,E
5.768,12315.6,D,D,E
5.08,12386.0,D,D,D
5.315,15461.7,D,D,D
5.742000000000001,12340.1,D,D,E
6.181,12355.9,E,E,E
5.43,15464.1,D,D,E
6.365,12386.1,E,E,E
4.973,61739.5,C,C,B
3.731,31759.6,A,A,D
4.629,19922.4,D,D,D
5.205,15395.7,D,D,D
6.287000000000001,12347.8,E,E,E
5.143,15536.9,D,D,D
6.641,12291.7,E,E,E
5.0539999999999985,15394.4,D,D,D
6.6789999999999985,12308.9,E,E,E
5.45,15373.6,D,D,E
5.693,12296.5,D,D,E
5.916,12329.8,E,E,E
6.056,12330.2,E,E,E
5.6110000000000015,15408.6,D,D,E
6.582999999999998,12382.0,E,E,E
6.08,12420.6,E,E,E
6.6850000000000005,12339.6,E,E,E
6.265,13702.2,E,E,E
5.847,28056.3,B,B,E
6.8870000000000005,25001.3,E,E,E
6.289,28068.4,B,B,E
7.443,24987.6,E,E,E
6.8279999999999985,28157.8,E,E,E
7.147,25044.0,E,E,E
4.9719999999999995,14886.9,D,D,D
5.905,28066.6,B,B,E
7.02,25666.8,E,E,E
7.556,19380.4,E,E,E
6.9929999999999986,25042.6,E,E,E
6.375,28203.4,B,B,E
7.295,25006.3,E,E,E
6.473,28156.5,B,E,E
7.635,24104.6,E,E,E
5.85,28154.4,B,B,E
6.957999999999998,25035.7,E,E,E
7.621,14404.4,E,E,E
10.051,97005.7,C,C,A
8.107000000000001,14203.7,E,E,E
5.416,22593.7,B,B,E
6.144,13646.0,E,E,E
7.063,28484.4,E,E,E
5.792999999999998,19390.3,B,E,E
7.104,25025.9,E,E,E
5.664,28182.3,B,B,E
7.319,25858.1,E,E,E
6.0539999999999985,28020.2,B,B,E
7.11,27261.3,E,E,E
6.437,28083.8,B,E,E
7.034,24978.1,E,E,E
5.747000000000001,27793.7,B,B,E
6.894,24997.0,E,E,E
6.132999999999999,27955.0,B,B,E
6.757999999999999,25816.8,E,E,E
6.087999999999999,28576.8,B,B,E
6.896,25638.4,E,E,E
5.872000000000001,29382.4,B,B,E
6.859,25659.6,E,E,E
6.222,27860.0,B,B,E
7.002999999999999,27220.9,E,E,E
6.1389999999999985,27803.1,B,B,E
6.949,25669.9,E,E,E
6.0939999999999985,27748.1,B,B,E
6.836,25006.4,E,E,E
6.807,27880.1,E,E,E
6.989,27220.3,E,E,E
6.522,28662.4,B,E,E
6.136,25009.3,B,E,E
6.726,27750.1,E,E,E
7.0539999999999985,26176.4,E,E,E
6.614,27902.6,B,E,E
7.1160000000000005,25540.2,E,E,E
4.947,19915.1,D,D,D
6.579,25670.3,E,E,E
5.769,27765.8,B,B,E
6.577000000000001,25013.8,E,E,E
5.5120000000000005,27763.8,B,B,E
6.654,25662.7,E,E,E
6.157,12209.6,E,E,E
7.242000000000001,12239.1,E,E,E
5.7360000000000015,27877.5,B,B,E
6.854,24998.2,E,E,E
5.4220000000000015,27829.9,B,B,E
6.335,25593.4,B,E,E
8.429,17111.2,E,E,E
8.201,15023.4,E,E,E
7.997999999999998,25392.1,E,E,E
6.047999999999999,27822.9,B,B,E
6.827000000000001,26202.3,E,E,E
6.13,30608.8,B,B,E
6.546,25680.3,E,E,E
5.352,28108.6,B,B,E
6.995,26041.6,E,E,E
5.832999999999998,27811.1,B,B,E
6.634,25041.6,E,E,E
5.908,28056.0,B,B,E
6.496,25002.5,E,E,E
5.934,27961.3,B,B,E
6.651,25040.7,E,E,E
2.99,10411.3,A,A,A
5.6179999999999986,27659.5,B,B,E
6.864,25891.5,E,E,E
5.977,27776.9,B,B,E
6.854,25586.7,E,E,E
8.463,17425.6,E,E,E
5.891,27770.7,B,B,E
6.876,25875.6,E,E,E
5.547999999999999,27698.7,B,B,E
6.9030000000000005,27569.2,E,E,E
5.151,27825.8,B,B,D
6.722,25295.3,E,E,E
5.774,27760.9,B,B,E
7.068,24963.0,E,E,E
8.635,22468.7,E,E,E
9.811,25507.7,E,E,E
7.427,22726.4,E,E,E
8.899000000000003,15279.0,E,E,E
5.698,27788.5,B,B,E
6.874,25096.2,E,E,E
5.636,27915.8,B,B,E
6.558,25037.0,E,E,E
8.754,13639.4,E,E,E
4.893,15847.8,D,D,D
3.822,70676.4,C,C,B
6.419,29879.0,B,B,E
6.2879999999999985,25100.4,B,E,E
5.68,27748.5,B,B,E
6.346,24995.9,B,E,E
5.045,27762.8,B,B,D
6.542999999999998,24974.1,E,E,E
7.506,96936.0,C,C,C
6.242000000000001,34136.6,B,B,E
6.9670000000000005,24880.7,E,E,E
5.689,27763.7,B,B,E
6.747999999999998,25050.3,E,E,E
5.72,27804.0,B,B,E
7.066,25041.2,E,E,E
5.8870000000000005,29452.2,B,B,E
7.121,24896.0,E,E,E
8.322000000000001,48490.5,B,E,A
8.972999999999997,15729.6,E,E,E
10.826,15632.4,E,E,E
6.367000000000001,9850.5,E,E,E
6.932,6876.299999999999,E,E,E
5.428,30851.9,B,B,E
6.672999999999999,25036.4,E,E,E
4.92,29113.6,B,B,D
6.421,25037.3,E,E,E
5.296,28246.0,B,B,E
8.514,49389.6,B,E,A
5.476,39895.6,B,B,B
7.928,66939.5,C,C,A
5.436,29426.7,B,B,E
6.65,25124.4,E,E,E
6.192,27798.1,B,B,E
6.932,25015.9,E,E,E
5.79,28911.3,B,B,E
6.755,25039.2,E,E,E
6.32,27832.3,B,B,E
6.739,25232.2,E,E,E
6.465,27689.2,B,E,E
6.892,25115.9,E,E,E
6.347,10903.5,E,E,E
7.024,10985.0,E,E,E
6.409,27776.9,B,E,E
6.55,25002.2,E,E,E
5.896,14851.0,E,E,E
5.456,25007.0,B,B,E
6.332000000000002,24968.2,B,E,E
6.402,25024.1,E,E,E
5.829,24970.1,B,B,E
6.271,24913.8,B,E,E
6.297999999999999,24979.8,B,E,E
5.007,25019.7,B,B,D
6.283,25017.8,B,E,E
8.706,23445.3,E,E,E
5.7780000000000005,24984.6,B,B,E
6.449,24981.9,E,E,E
5.573,24966.8,B,B,E
6.223,24964.7,B,E,E
6.226,24945.7,B,E,E
6.093,24981.5,B,B,E
6.52,24965.6,E,E,E
6.2429999999999986,25259.2,B,E,E
6.507999999999999,24972.0,E,E,E
6.3420000000000005,25019.4,B,E,E
6.45,24969.1,E,E,E
6.174,25015.4,B,E,E
5.6179999999999986,25004.7,B,B,E
7.739,98287.5,C,C,C
6.0779999999999985,27873.1,B,B,E
6.8260000000000005,24977.7,E,E,E
6.402,26318.7,B,E,E
6.483,24984.6,E,E,E
5.372999999999998,27441.0,B,B,E
7.224,24972.2,E,E,E
7.791,13859.3,E,E,E
6.641,25010.9,E,E,E
5.559,42852.0,B,B,B
4.557,22293.0,D,D,D
4.612,40199.8,B,B,B
4.933,65323.3,C,C,B
5.1080000000000005,31473.4,B,B,D
5.932,21461.1,B,E,E
6.166,12522.2,E,E,E
4.5969999999999995,20499.5,D,D,D
5.652,32179.6,B,B,E
5.662000000000001,22889.5,B,B,E
6.059,44700.0,B,B,B
3.393,49639.7,C,B,B
6.018,6595.9,E,E,E
5.581,62121.90000000001,C,C,B
5.35,48003.9,B,B,B
5.7879999999999985,53075.0,C,C,B
3.786,59890.100000000006,C,C,B
5.3260000000000005,23042.4,B,B,E
6.207000000000002,70093.4,C,C,C
6.1160000000000005,33422.5,B,B,E
5.484,96612.8,C,C,C
5.792000000000002,56203.2,C,C,B
5.757999999999999,95226.0,C,C,C
5.55,55695.2,C,C,B
5.775,36896.7,B,B,E
6.316,16761.8,E,E,E
6.122000000000001,51302.100000000006,B,C,B
5.39,49627.3,B,B,B
4.667,53862.8,C,C,B
6.25,51287.90000000001,B,C,B
4.34,21498.7,A,A,D
6.249,55450.90000000001,C,C,B
5.249,67109.3,C,C,B
5.744,79408.0,C,C,C
4.074,3202.2000000000007,A,A,D
5.912000000000001,64889.0,C,C,B
6.0310000000000015,59294.3,C,C,B
5.69,87925.8,C,C,C
5.902,80955.1,C,C,C
5.782,93556.6,C,C,C
5.845,85770.6,C,C,C
6.124,32488.9,B,B,E
6.332999999999998,35825.7,B,B,E
4.126,20221.6,A,A,D
5.8679999999999986,9395.3,D,E,E
6.122999999999998,29628.7,B,B,E
5.447,26874.7,B,B,E
5.372999999999998,26610.6,B,B,E
6.06,28581.2,B,B,E
5.595,37475.6,B,B,E
4.143,37047.3,B,B,D
3.992,38845.9,B,B,B
5.462999999999999,41642.4,B,B,B
5.249,28539.6,B,B,E
6.86,98574.4,C,C,C
4.519,30568.9,B,B,D
5.9270000000000005,44390.7,B,B,B
3.819,27750.0,A,A,D
4.503,13762.3,D,D,D
5.752000000000002,53781.100000000006,C,C,B
5.159,28546.2,B,B,D
2.575,6446.200000000001,A,A,A
3.5580000000000003,29098.0,A,A,D
3.706,10376.4,A,A,D
3.101000000000001,59950.0,C,C,B
3.884,32086.8,A,A,D
6.124,57132.3,C,C,B
5.612,32043.3,B,B,E
3.852,30484.7,A,A,D
3.267,9227.0,A,A,A
2.6260000000000003,25910.7,A,A,A
3.916,71819.5,C,C,B
3.732,80245.0,C,C,C
4.458,64936.3,C,C,B
4.187,17893.0,A,A,D
4.056,62886.2,C,C,B
3.7700000000000005,47003.5,C,B,B
4.037,20307.8,A,A,D
4.8469999999999995,8584.6,D,D,D
4.0139999999999985,18390.8,A,A,D
3.317,42109.6,A,A,B
3.475,17889.0,A,A,D
3.361,56883.90000000001,C,C,B
3.76,37318.7,A,B,D
3.478,23297.9,A,A,D
2.6910000000000003,37497.7,A,A,D
2.424,31273.7,A,A,A
3.2430000000000003,42509.6,A,A,B
3.575,12034.0,A,A,D
2.9939999999999998,8604.3,A,A,A
3.065,33421.8,A,A,D
3.495,60190.0,C,C,B
4.033,11436.7,A,A,D
2.999,41475.1,A,A,D
3.444,23807.3,A,A,D
4.958,32308.0,B,B,D
3.622,31499.3,A,A,D
2.537,6969.799999999999,A,A,A
4.205,64321.90000000001,C,C,B
4.374,51862.5,C,C,B
3.51,52453.40000000001,C,C,B
2.911,52812.100000000006,C,C,B
2.705,40239.4,A,A,D
3.27,18889.5,A,A,D
4.24,34670.5,B,B,D
3.93,11989.2,A,A,D
3.224,14898.7,A,A,A
2.612,38050.9,A,A,D
3.332,16713.2,A,A,D
2.9810000000000003,17692.9,A,A,A
2.765,46159.6,A,A,B
3.109,37376.8,A,A,D
2.916,7978.5,A,A,A
3.016,22062.7,A,A,A
3.08,53057.100000000006,C,C,B
3.55,46771.0,A,B,B
3.2880000000000003,24418.4,A,A,D
3.003,35138.0,A,A,D
3.361,13100.8,A,A,D
2.915,44447.8,A,A,B
3.138,24388.3,A,A,D
3.011,8877.4,A,A,A
3.049,32857.8,A,A,D
3.818,20311.2,A,A,D
6.8039999999999985,12328.0,E,E,E
7.518,12539.4,E,E,E
6.049,12364.1,E,E,E
7.422999999999999,12344.9,E,E,E
6.776,12345.6,E,E,E
6.892,12357.3,E,E,E
6.546,12365.0,E,E,E
7.5870000000000015,12313.8,E,E,E
